1	3
1	4
1	8
1	17
1	18
1	27
1	30
1	41
1	45
1	48
2	11
2	14
2	18
2	23
2	24
2	25
2	26
2	28
2	35
2	42
3	5
3	15
3	19
3	20
3	25
3	34
3	36
3	42
3	43
4	5
4	6
4	7
4	14
4	40
4	44
4	45
5	6
5	11
5	16
5	19
5	21
5	22
5	24
5	31
5	39
5	40
5	48
6	7
6	16
6	22
6	29
6	30
7	16
7	25
7	27
7	36
7	39
8	9
8	13
8	15
8	20
8	24
8	32
8	35
8	37
8	38
8	42
8	43
8	48
9	29
9	37
9	40
9	45
10	20
10	29
10	31
10	33
10	34
10	35
10	50
11	17
11	18
11	30
11	44
11	45
11	49
12	26
12	27
12	44
12	49
12	50
13	14
13	17
13	25
13	33
13	39
13	40
14	15
14	23
14	25
14	26
14	31
14	33
14	36
14	37
14	38
14	40
15	19
15	24
15	31
15	37
15	38
15	41
15	42
15	43
15	44
15	45
15	48
16	18
16	19
16	29
16	35
16	36
16	38
16	47
17	21
17	23
17	24
17	26
17	31
17	38
17	41
17	44
17	47
18	20
18	23
18	24
18	27
18	31
18	33
18	36
18	38
18	41
18	48
19	22
19	23
19	24
19	25
19	32
19	38
19	40
19	41
19	42
20	32
20	41
20	44
20	47
21	23
21	24
21	25
21	32
21	41
21	46
21	50
22	24
22	28
22	35
22	37
22	40
22	45
22	46
22	48
23	26
23	29
23	33
23	35
23	47
23	50
24	26
24	28
24	33
25	26
25	36
25	41
25	48
26	29
26	42
27	28
27	38
27	46
28	29
28	30
28	32
28	45
28	46
28	50
29	30
29	32
29	33
29	34
29	39
29	40
29	47
29	48
30	31
30	41
30	50
31	35
31	44
31	46
31	48
32	34
32	35
32	43
32	45
32	46
32	47
32	50
33	38
34	39
34	41
34	42
34	43
34	44
34	48
35	42
35	49
36	39
36	43
36	46
37	38
37	50
38	44
38	46
39	41
40	41
40	44
40	45
40	48
41	42
41	43
41	46
41	49
41	50
43	46
43	47
43	48
43	49
46	48
48	49
